Model,Description,Prefix,Design,Size
PLPP007BK,"Ladle, 4 oz., 4-1/2"" handle, 11-5/8"" OA length, heat-resistant up to 410°F, nylon, black (12 each minimum order)",PLPP007,,
PLPP008BK,"Fork, 12-3/4""L, 2-prong, heat-resistant up to 410°F, nylon, black (12 each minimum order)",PLPP008,,
PLPP009BK,"Masher, 9-1/2""L, heat-resistant up to 410°F, nylon, black (12 each minimum order)",PLPP009,,
PLPP010BK,"Turner, 7-1/2"" x 4"" blade, 12"" OA length, slotted, heat-resistant up to 410°F, nylon, black (12 each minimum order)",PLPP010,,
PLPP011BK,"Turner, 7-1/2"" x 4"" blade, 12"" OA length, solid, heat-resistant up to 410°F, nylon, black (12 each minimum order)",PLPP011,,
PLPP012BK,"Whip, 12-1/8""L, heat-resistant up to 410°F, nylon, black (12 each minimum order)",PLPP012,,
PLPR050C,"Liquor Pourer, 1/2 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, orange tail (12 each per pack)",PLPR0,,
PLPR050M,"Liquor Pourer, 1/2 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, orange tail (12 each per pack)",PLPR0,,
PLPR063C,"Liquor Pourer, 5/8 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, black tail (12 each per pack)",PLPR0,,
PLPR063M,"Liquor Pourer, 5/8 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, black tail (12 each per pack)",PLPR0,,
PLPR075C,"Liquor Pourer, 3/4 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, green tail (12 each per pack)",PLPR0,,
PLPR075M,"Liquor Pourer, 3/4 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, green tail (12 each per pack)",PLPR0,,
PLPR088C,"Liquor Pourer, 7/8 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, blue tail (12 each per pack)",PLPR0,,
PLPR088M,"Liquor Pourer, 7/8 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, blue tail (12 each per pack)",PLPR0,,
PLPR100C,"Liquor Pourer, 1 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, red tail (12 each per pack)",PLPR1,,
PLPR100M,"Liquor Pourer, 1 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, red tail (12 each per pack)",PLPR1,,
PLPR113C,"Liquor Pourer, 1-1/8 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, purple tail (12 each per pack)",PLPR1,,
PLPR113M,"Liquor Pourer, 1-1/8 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, purple tail (12 each per pack)",PLPR1,,
PLPR125C,"Liquor Pourer, 1-1/4 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear (12 each per pack)",PLPR1,,
PLPR125M,"Liquor Pourer, 1-1/4 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear (12 each per pack)",PLPR1,,
PLPR150C,"Liquor Pourer, 1-1/2 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, yellow tail (12 each per pack)",PLPR1,,
PLPR150M,"Liquor Pourer, 1-1/2 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, yellow tail (12 each per pack)",PLPR1,,
PLPR200C,"Liquor Pourer, 2 oz., with black collar, fits standard 750ml bottle, SAN (plastic), clear spout, white tail (12 each per pack)",PLPR2,,
PLPR200M,"Liquor Pourer, 2 oz., without collar, fits standard 750ml bottle, SAN (plastic), clear spout, white tail (12 each per pack)",PLPR2,,
PLPR501S,"Liquor Pourer, medium flow, tapered, fits standard 750ml liquor bottle, stainless steel (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR502S,"Liquor Pourer, jet fast flow, with flip cap, fits standard 750ml liquor bottle, stainless steel (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR503S,"Liquor Pourer, extra fast flow, with speed jet, fits standard 750ml liquor bottle, stainless steel (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR504S,"Liquor Pourer, fast flow, gooseneck, fits standard 750ml liquor bottle, stainless steel (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR505S,"Liquor Pourer, medium flow, tapered, with flip cap, fits standard 750ml liquor bottle, stainless steel (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR506S,"Liquor Pourer, free flow, with soft black collar, fits standard 750ml liquor bottle, chrome (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR507S,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, chrome (12 each per pack) (12 packs minimum order)",PLPR5,,
PLPR600AM,"Liquor Pourer, free flow, with screen, fits standard 750ml liquor bottle, SAN (plastic), amber (12 each per pack) (12 packs minimum order)",PLPR6,,
PLPR600CL,"Liquor Pourer, free flow, with screen, fits standard 750ml liquor bottle, SAN (plastic), clear (12 each per pack) (12 packs minimum order)",PLPR6,,
PLPR600RD,"Liquor Pourer, free flow, with screen, fits standard 750ml liquor bottle, SAN (plastic), red (12 each per pack) (12 packs minimum order)",PLPR6,,
PLPR600SM,"Liquor Pourer, free flow, with screen, fits standard 750ml liquor bottle, SAN (plastic), smoke spout (12 each per pack) (12 packs minimum order)",PLPR6,,
PLPR700BK,"Liquor Pourer, free flow, with black collar, fits standard 750ml liquor bottle, SAN (plastic), black spout (12 each per pack) (12 packs minimum order)",PLPR7,,
PLPR700CL,"Liquor Pourer, free flow, with black collar, fits standard 750ml liquor bottle, SAN (plastic), clear spout (12 each per pack) (12 packs minimum order)",PLPR7,,
PLPR700RD,"Liquor Pourer, free flow, with black collar, fits standard 750ml liquor bottle, SAN (plastic), red spout (12 each per pack) (12 packs minimum order)",PLPR7,,
PLPR800BK,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, SAN (plastic), black spout(12 each per pack) (12 packs minimum order)",PLPR8,,
PLPR800CL,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, SAN (plastic), clear (12 each per pack) (12 packs minimum order)",PLPR8,,
PLPR800RD,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, SAN (plastic), red spout (12 each per pack) (12 packs minimum order)",PLPR8,,
PLPR900BK,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), black (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPR900BL,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), blue (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPR900CL,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), clear (fits standard 750ml liquor bottle) (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPR900GR,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), green (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPR900RD,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), red (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPR900WH,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), white (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPR900YW,"Liquor Pourer, free flow, without collar, fits standard 750ml liquor bottle, EVA (plastic), yellow (12 each per pack) (12 packs minimum order)",PLPR9,,
PLPRC001,"Liquor Pourer Cover, universal, plastic (12 each per pack) (12 packs minimum order)",PLPRC00,,
PLPRC002BK,"Liquor Pourer Dust Cap, 1"", plastic, black (12 each per bag)",PLPRC00,,
PLPRC002RD,"Liquor Pourer Dust Cap, 1"", plastic, red (12 each per bag)",PLPRC00,,
PLPRC020,"Pan Rack Cover, for 20 tier, clear, NSF",PLPRC02,,
PLPT046BL,"Tip Tray, 4-1/2"" x 6-1/2"", rectangular, ""Thank You"" imprint, plastic, black (4 dozen minimum order)",PLPT0,,
PLPT046BR,"Tip Tray, 4-1/2"" x 6-1/2"", rectangular, ""Thank You"" imprint, plastic, brown (4 dozen minimum order)",PLPT0,,
PLPTB016A,"Pebble Tumbler, 16 oz., scratch and break-resistant, dishwasher safe, plastic, amber",PLPTB,,
PLPTB016C,"Pebble Tumbler, 16 oz.,  scratch and break-resistant, dishwasher safe,  plastic, clear",PLPTB,,
PLPTD394,"Paper Towel Dispenser, 9-1/2"" x 8-1/2"" x 13-1/2"", center-pull, wall-mount, full-swing cover, key lock, plastic, transparent",PLPTD,,
PLRC005,"Stem Caster, 5"", swivel, heavy-duty, non-locking",PLRC0,,
PLRC005B,"Stem Caster, 5"", swivel, heavy-duty, locking side-brake",PLRC0,,
PLRCB001,"Cutting Board, 14"" dia. x 1"" thick, round, non-skid, polyethylene, white (10 each minimum order)",PLRCB,,
PLRCB002,"Cutting Board, 14"" dia. x 1/2"" thick, round, non-skid, polyethylene, white (20 each minimum order)",PLRCB,,
PLRCF001H,"Chafer Dome Cover, rectangular, hinged, dual sided handles, polycarbonate, clear (for full size 8 qt. chafers) (12 each minimum order)",PLRCF,,
PLRCF001R,"Chafer Dome Cover, oblong, roll top, one sided handle, polycarbonate, clear (for full size 8 qt. chafers) (4 each minimum order)",PLRCF,,
PLRDH003,"Dredge, 10 oz. with handle, 3 snap-on lids (fine, medium and large holes), break-resistant, polycarbonate, clear (12 sets minimum order)",PLRD,,
PLRFC0001PC,"Food Storage Container Cover, round, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (for 1 quart container) (12 each minimum order)",PLRF,,
PLRFC0001PP,"Food Storage Container Cover, fits 1 quart, round, stain resistant, -40° to 160° F temperature range, BPA free, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFC0001TL,"Food Storage Container Cover, fits 1 quart, round, stain & chemical resistant, -40° to 160° F temperature range, BPA free, polypropylene, translucent, NSF (12 each minimum order)",PLRF,,
PLRFC0204PC,"Food Storage Container Cover, round, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (for 2 & 4 quart containers) (12 each minimum order)",PLRF,,
PLRFC0204PP,"Food Storage Container Cover, fits 2 & 4 quart, round, stain resistant, -40° to 160° F temperature range, BPA free, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFC0204TL,"Food Storage Container Cover, fits 2 & 4 quart, round, stain & chemical resistant, -40° to 160° F temperature range, BPA free, polypropylene, translucent, NSF  (12 each minimum order)",PLRF,,
PLRFC0608PC,"Food Storage Container Cover, round, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (for 6 & 8 quart containers) (12 each minimum order)",PLRF,,
PLRFC0608PP,"Food Storage Container Cover, fits 6 & 8 quart, round, stain resistant, -40° to 160° F temperature range, BPA free, polypropylene, white, NSF  (12 each minimum order)",PLRF,,
PLRFC0608TL,"Food Storage Container Cover, fits 6 & 8 quart, round, stain & chemical resistant, -40° to 160° F temperature range, BPA free, polypropylene, translucent, NSF  (12 each minimum order)",PLRF,,
PLRFC121822PC,"Food Storage Container Cover Only, round, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (for 12, 18, & 22 quart containers) (6 each minimum order)",PLRF,,
PLRFC121822PP,"Food Storage Container Cover, fits 12, 18, 22 quart, round, stain resistant, -40° to 160° F temperature range, BPA free, polypropylene, white, NSF  (6 each minimum order)",PLRF,,
PLRFC121822TL,"Food Storage Container Cover, fits 12, 18, 22 quart, round container, stain & chemical resistant, -40° to 160° F temperature range, BPA free, polypropylene, translucent, NSF (6 each minimum order)",PLRF,,
PLRFT301PC,"Food Storage Container, 1 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLRF,,
PLRFT301PP,"Food Storage Container, 1 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (6 each minimum order)",PLRF,,
PLRFT301TL,"Food Storage Container, 1 quart, round, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLRF,,
PLRFT302PC,"Food Storage Container, 2 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (12 each minimum order)",PLRF,,
PLRFT302PP,"Food Storage Container, 2 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFT302TL,"Food Storage Container, 2 quart, round, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (12 each minimum order)",PLRF,,
PLRFT304PC,"Food Storage Container, 4 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (12 each minimum order)",PLRF,,
PLRFT304PP,"Food Storage Container, 4 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFT304TL,"Food Storage Container, 4 quart, round, stain & chemical resistant, -40° to 210° F temperature range, polypropylene, translucent, NSF (12 each minimum order)",PLRF,,
PLRFT306PC,"Food Storage Container, 6 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (12 each minimum order)",PLRF,,
PLRFT306PP,"Food Storage Container, 6 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFT306TL,"Food Storage Container, 6 quart, round, stain & chemical resistant, -40° to 210° F temperature range, polypropylene, translucent, NSF (12 each minimum order)",PLRF,,
PLRFT308PC,"Food Storage Container, 8 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (12 each minimum order)",PLRF,,
PLRFT308PP,"Food Storage Container, 8 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFT308TL,"Food Storage Container, 8 quart, round, stain & chemical resistant, -40° to 210° F temperature range, polypropylene, translucent, NSF (12 each minimum order)",PLRF,,
PLRFT312PC,"Food Storage Container, 12 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (12 each minimum order)",PLRF,,
PLRFT312PP,"Food Storage Container, 12 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (12 each minimum order)",PLRF,,
PLRFT312TL,"Food Storage Container, 12 quart, round, stain & chemical resistant, -40° to 210° F temperature range, polypropylene, translucent, NSF (12 each minimum order)",PLRF,,
PLRFT318PC,"Food Storage Container, 18 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLRF,,
PLRFT318PP,"Food Storage Container, 18 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (6 each minimum order)",PLRF,,
PLRFT318TL,"Food Storage Container, 18 quart, round, stain & chemical resistant, -40° to 210° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLRF,,
PLRFT322PC,"Food Storage Container, 22 quart, round, shatter and scratch resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLRF,,
PLRFT322PP,"Food Storage Container, 22 quart, round, stain resistant, -40° to 160° F temperature range, polypropylene, white, NSF (6 each minimum order)",PLRF,,
PLRFT322TL,"Food Storage Container, 22 quart, round, stain & chemical resistant, -40° to 210° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLRF,,
PLRM005W,"Ramekin, 5 oz. capacity, fluted, ABS-plastic, bone (4 dozen minimum order)",PLRM,,
PLRPD392,"Jumbo Single Tissue Dispenser, 12"" x 5-1/4"" x 11-3/4"", full-swing replaceable cover, key-lock, holds up to 9"" dia. roll, plastic, transparent",PLRPD,,
PLRPD396,"Jumbo Twin Tissue Dispenser, 19"" x 5"" x 12-1/4"", full-swing replaceable cover, key-lock, holds up to (2) 9"" dia. rolls, plastic, tranparent",PLRPD,,
PLRPSS,"Shelf Clip, split sleeve, plastic, (2 pc/set) (4 sets minimum order)",PLRPS,,
PLRS001,"Rice Serving Spoon, solid, plastic (50 each minimum order)",PLRS0,,
PLRS003,"Rice Serving Scoop, 10-1/2"", jumbo, slotted, plastic (24 each minimum order)",PLRS0,,
PLRSB064,"Scrap Block, 6-1/2"" x 4"" deep, fits standard 5-3/4"" opening, rubber",PLRSB,,
PLRT012,"Serving Tray, 12"" dia., textured surface, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT012BCK,"Serving Tray, 12"" dia., cork bottom, slip resistant, ABS-plastic, black (12 each minimum order)",PLRT,,
PLRT012CK,"Serving Tray, 12"" dia., cork bottom, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT014,"Serving Tray, 14"" dia., textured surface, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT014BCK,"Serving Tray, 14"" dia., cork bottom, slip resistant, ABS-plastic, black (12 each minimum order)",PLRT,,
PLRT014CK,"Serving Tray, 14"" dia., cork bottom, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT016,"Serving Tray, 16"" dia., textured surface, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT016BCK,"Serving Tray, 16"" dia., cork bottom, slip resistant, ABS-plastic, black (12 each minimum order)",PLRT,,
PLRT016CK,"Serving Tray, 16"" dia., cork bottom, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT1612,"Serving Tray, rectangular, 16"" x 12"", textured surface, slip resistant, ABS-plastic, brown (12 each minimum order)",PLRT,,
PLRT1612BCK,"Serving Tray, rectangular, 16"" x 12"", cork bottom, slip resistant, ABS-plastic, black (12 each minimum order)",PLRT,,
PLRT1612CK,"Serving Tray, rectangular, 16"" x 12"", cork bottom, ABS-plastic, slip resistant, brown (12 each minimum order)",PLRT,,
PLSB703,"Utility Brush, 7"" x 3-1/2"" x 4"", heavy-duty, steel bristles, plastic handle",PLSB,,
PLSC006CL,"Ice Scoop, 6 oz., beveled tip, shatter-resistant, hanging hole, polycarbonate, clear, NSF (12 each minimum order)",PLSC,,
PLSC012CL,"Ice Scoop, 12 oz., beveled tip, shatter-resistant, hanging hole, polycarbonate, clear, NSF (12 each minimum order)",PLSC,,
PLSC024CL,"Ice Scoop, 24 oz., beveled tip, shatter-resistant, hanging hole, polycarbonate, clear, NSF (12 each minimum order)",PLSC,,
PLSC064CL,"Ice Scoop, 64 oz., beveled tip, shatter-resistant, hanging hole, polycarbonate, clear, NSF (12 each minimum order)",PLSC,,
PLSD001,"Stir Stick Dispenser, 7-5/8"" x 4-1/8"" x 5-5/8""H, rectangular, easy lift top, acrylic, clear",,,
PLSD002,"Straw Dispenser, 12-5/8"" x 5-5/8"" x 6-7/8""H, rectangular, easy lift top, acrylic, clear",,,
PLSD377,"Soap Dispenser, 32 oz. capacity, 8-3/4"" x 3-5/8"" x 9-1/8""H, wall mount, anti-leak, push-button, NSF",PLSD3,,
PLSFT002PC,"Food Storage Container, 2 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT002PP,"Food Storage Container, 2 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF (6 each minimum order)",PLSF,,
PLSFT002TL,"Food Storage Container, 2 quart, square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT004PC,"Food Storage Container, 4 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT004PP,"Food Storage Container, 4 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF(6 each minimum order)",PLSF,,
PLSFT004TL,"Food Storage Container, 4 quart  square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT006PC,"Food Storage Container, 6 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT006PP,"Food Storage Container, 6 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF(6 each minimum order)",PLSF,,
PLSFT006TL,"Food Storage Container, 6 quart  square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT008PC,"Food Storage Container, 8 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT008PP,"Food Storage Container, 8 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF(6 each minimum order)",PLSF,,
PLSFT008TL,"Food Storage Container, 8 quart  square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT012PC,"Food Storage Container, 12 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT012PP,"Food Storage Container, 12 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF(6 each minimum order)",PLSF,,
PLSFT012TL,"Food Storage Container, 12 quart  square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT018PC,"Food Storage Container, 18 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT018PP,"Food Storage Container, 18 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF(6 each minimum order)",PLSF,,
PLSFT018TL,"Food Storage Container, 18 quart  square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT0204C,"Food Storage Container Cover, square, snap-on, non-slip texture, plastic, green, NSF (for 2 & 4 quart containers) (6 each minimum order)",PLSF,,
PLSFT022PC,"Food Storage Container, 22 quart, square, scratch & break resistant, -40° to 210° F temperature range, polycarbonate, clear, NSF (6 each minimum order)",PLSF,,
PLSFT022PP,"Food Storage Container, 22 quart, square, scratch & break resistant, -40° to 210° F temperature range, polypropylene, white, NSF(6 each minimum order)",PLSF,,
PLSFT022TL,"Food Storage Container, 22 quart  square, stain & chemical resistant, -40° to 160° F temperature range, polypropylene, translucent, NSF (6 each minimum order)",PLSF,,
PLSFT0608C,"Food Storage Container Cover, square, snap-on, non-slip texture, plastic, red, NSF (for 6 & 8 quart containers) (6 each minimum order)",PLSF,,
PLSFT121822C,"Food Storage Container Cover, square, snap-on, non-slip texture, plastic, blue, NSF (for 12, 18 & 22 quart containers) (6 each minimum order)",PLSF,,
PLSGTG006BG,"Serving Tongs, 6"", scallop, dishwasher safe, polycarbonate, beige, NSF (12 each minimum order)",PLSG,,
PLSGTG006BK,"Serving Tongs, 6"", scallop, dishwasher safe, polycarbonate, black, NSF (12 each minimum order)",PLSG,,
PLSGTG006CL,"Serving Tongs, 6"", scallop, dishwasher safe, polycarbonate, clear, NSF (12 each minimum order)",PLSG,,
PLSGTG006GR,"Serving Tongs, 6"", scallop, dishwasher safe, polycarbonate, green, NSF (12 each minimum order)",PLSG,,
PLSGTG006RD,"Serving Tongs, 6"", scallop, dishwasher safe, polycarbonate, red, NSF (12 each minimum order)",PLSG,,
PLSGTG006WH,"Serving Tongs, 6"", scallop, dishwasher safe, polycarbonate, white, NSF (12 each minimum order)",PLSG,,
PLSGTG009BG,"Serving Tongs, 9"", scallop, dishwasher safe, polycarbonate, beige, NSF (12 each minimum order)",PLSG,,
PLSGTG009BK,"Serving Tongs, 9"", scallop, dishwasher safe, polycarbonate, black, NSF (12 each minimum order)",PLSG,,
PLSGTG009CL,"Serving Tongs, 9"", scallop, dishwasher safe, polycarbonate, clear, NSF (12 each minimum order)",PLSG,,
PLSGTG009GR,"Serving Tongs, 9"", scallop, dishwasher safe, polycarbonate, green, NSF (12 each minimum order)",PLSG,,
PLSGTG009RD,"Serving Tongs, 9"", scallop, dishwasher safe, polycarbonate, red, NSF (12 each minimum order)",PLSG,,
PLSGTG009WH,"Serving Tongs, 9"", scallop, dishwasher safe, polycarbonate, white, NSF (12 each minimum order)",PLSG,,
PLSGTG012BG,"Serving Tongs, 12"", scallop, dishwasher safe, polycarbonate, beige, NSF (12 each minimum order)",PLSG,,
PLSGTG012BK,"Serving Tongs, 12"", scallop, dishwasher safe, polycarbonate, black, NSF (12 each minimum order)",PLSG,,
PLSGTG012CL,"Serving Tongs, 12"", scallop, dishwasher safe, polycarbonate, clear, NSF (12 each minimum order)",PLSG,,
PLSGTG012GR,"Serving Tongs, 12"", scallop, dishwasher safe, polycarbonate, green, NSF (12 each minimum order)",PLSG,,
PLSGTG012RD,"Serving Tongs, 12"", scallop, dishwasher safe, polycarbonate, red, NSF (12 each minimum order)",PLSG,,
PLSGTG012WH,"Serving Tongs, 12"", scallop, dishwasher safe, polycarbonate, white, NSF (12 each minimum order)",PLSG,,
PLSL003BK,"Shelf Label, 3"", plastic, black (4 pcs/pack)",PLSL,,
PLSL006BK,"Shelf Label, 6"", plastic, black (4 pcs/pack)",PLSL,,
PLSL113BK,"Shelf Label, 3"", snaps under shelf, plastic, black (pack of 4)",PLSL,,
PLSL116BK,"Shelf Label, 6"", snaps under shelf, plastic, black (pack of 4)",PLSL,,
PLSNP01B,"Storer and Pour, 1 quart, color-coordinated spout and cap, plastic, brown",PLSN,,
PLSNP01G,"Storer and Pour, 1 quart, color-coordinated spout and cap, plastic, green",PLSN,,
PLSNP01O,"Storer and Pour, 1 quart, color-coordinated spout and cap, plastic, orange",PLSN,,
PLSNP01R,"Storer and Pour, 1 quart, color-coordinated spout and cap, plastic, red",PLSN,,
PLSNP01W,"Storer and Pour, 1 quart, color-coordinated spout and cap, plastic, white",PLSN,,
PLSNP01Y,"Storer and Pour, 1 quart, color-coordinated spout and cap, plastic, yellow",PLSN,,
PLSNP02B,"Storer and Pour, 2 quart, color-coordinated spout and cap, plastic, brown",PLSN,,
PLSNP02G,"Storer and Pour, 2 quart, color-coordinated spout and cap, plastic, green",PLSN,,
PLSNP02O,"Storer and Pour, 2 quart, color-coordinated spout and cap, plastic, orange",PLSN,,
PLSNP02R,"Storer and Pour, 2 quart, color-coordinated spout and cap, plastic, red",PLSN,,
PLSNP02W,"Storer and Pour, 2 quart, color-coordinated spout and cap, plastic, white",PLSN,,
PLSNP02Y,"Storer and Pour, 2 quart, color-coordinated spout and cap, plastic, yellow",PLSN,,
PLSP001,"Broom, natural coconut bristles, standard color",,,
PLSP002,"Broom, 4-color pattern, polypropylene bristles, standard color",,,
PLSP002D,"Syrup Cup, 2 oz. capacity, fluted, plastic, clear (9 dozen minimum order)",,,
PLSP010,"Scraper/Spatula, 10"" long, flat angled blade, flexible, hanging hole, plastic (12 each minimum order)",,,
PLSP010HR,"Scraper, 10"" long, flat angled silicon blade, flexible, heat resistant to 500°F, hanging hole, red plastic handle (12 each minimum order)",PLSP010H,,
PLSP010SHR,"Scraper/Spoon, 10"" long, spoon shaped silicon blade, flexible, hanging hole, heat resistant to 500°F, red plastic handle (12 each minimum order)",PLSP010S,,
PLSP014,"Scraper/Spatula, 14"" long, flat angled blade, flexible, hanging hole, plastic (12 each minimum order)",,,
PLSP014HR,"Scraper, 14"" long, flat angled silicon blade, flexible, heat resistant to 500°F, hanging hole, red plastic handle (12 each minimum order)",PLSP014H,,
PLSP014SHR,"Scraper/Spoon, 14"" long, spoon shaped silicon blade, flexible, hanging hole, heat resistant to 500°F, red plastic handle (12 each minimum order)",PLSP014S,,
PLSP016,"Scraper/Spatula, 16"" long, flat angled blade, flexible, hanging hole, plastic (12 each minimum order)",,,
PLSP016HR,"Scraper, 16"" long, flat angled silicon blade, flexible, heat resistant to 500°F, hanging hole, red plastic handle (12 each minimum order)",PLSP016H,,
PLSP016SHR,"Scraper/Spoon, 16"" long, spoon shaped silicon blade, flexible, hanging hole, heat resistant to 500°F, red plastic handle (12 each minimum order)",PLSP016S,,
PLSP032BK,"Sugar Packet Holder, rectangular, plastic, black (2 dozen minimum order)",PLSP03,,
