Model,Description,Prefix,Design,Size
1107TR,"Soup Plate, 5 oz., 7"" dia., break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1107,,
1107TW,"Soup Plate, 5 oz., 7"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1107,,
1108AR,"Soup Plate, 7 oz., 7-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1108,,
1108DL,"Soup Plate, 7 oz., 7-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1108,,
1108TB,"Soup Plate, 7 oz., 7-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1108,,
1108TP,"Soup Plate, 7 oz., 7-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1108,,
1108TR,"Soup Plate, 7 oz., 7-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1108,,
1108TW,"Soup Plate, 7 oz., 7-7/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1108,,
1109AR,"Soup Plate, 10 oz., 9-1/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",1109,,
1109DL,"Soup Plate, 10 oz., 9-1/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",1109,,
1109TB,"Soup Plate, 10 oz., 9-1/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",1109,,
1109TP,"Soup Plate, 10 oz., 9-1/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",1109,,
1109TR,"Soup Plate, 10 oz., 9-1/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",1109,,
1109TW,"Soup Plate, 10 oz., 9-1/4"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",1109,,
1110AR,"Soup Plate, 12 oz., 10-3/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Rose, NSF",111,,
1110DL,"Soup Plate, 12 oz., 10-3/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Blue Dragon, NSF",111,,
1110TB,"Soup Plate, 12 oz., 10-3/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Lotus, NSF",111,,
1110TP,"Soup Plate, 12 oz., 10-3/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Peacock, NSF",111,,
1110TR,"Soup Plate, 12 oz., 10-3/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, longevity, NSF",111,,
1110TW,"Soup Plate, 12 oz., 10-3/8"" dia., break-resistant, dishwasher safe, BPA free, melamine, Imperial White, NSF",111,,
1200CFB,"Fish Platter, 12"", festive fish shaped, break-resistant, dishwasher safe, melamine, blue, BPA free, NSF",1200,,
1200CFG,"Fish Platter, 12"", festive fish shaped, break-resistant, dishwasher safe, melamine, light green, BPA free, NSF",1200,,
1200CFR,"Fish Platter, 12"", festive fish shaped, break-resistant, dishwasher safe, melamine, red, BPA free, NSF",1200,,
1201BB,"Plate, 4-3/4"" x 4-1/4"", break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1201,,
1201J,"Plate, 4-3/4"" x 4-1/4"", break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1201,,
1202BB,"Plate, 5-1/2"" x 4-3/4"", break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1202,,
1202J,"Plate, 5-1/2"" x 4-3/4"", break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1202,,
1203BB,"Platter, 6"" x 5-1/2"", oblong, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1203,,
1203J,"Platter, 6"" x 5-1/2"", oblong, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1203,,
1206BB,"Plate, 6"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1206,,
1206J,"Plate, 6"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1206,,
1207BB,"Plate, 7"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1207,,
1207J,"Plate, 7"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1207,,
1208BB,"Plate, 8"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1208,,
1208J,"Plate, 8"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1208,,
1209BB,"Plate, 9-1/4"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",1209,,
1209J,"Plate, 9-1/4"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",1209,,
1210BB,"Plate, 10-1/2"" dia., round, curved rim. break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",121,,
1210J,"Plate, 10-1/2"" dia., round, curved rim, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",121,,
1304BB,"Dinner Plate, 4-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",130,,
1304J,"Dinner Plate, 4-3/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",130,,
1305BB,"Dinner Plate, 5-1/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",130,,
1305J,"Dinner Plate, 5-1/4"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",130,,
1306BB,"Dinner Plate, 6-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Blue Bamboo, NSF",130,,
1306J,"Dinner Plate, 6-3/8"" dia., round, break-resistant, dishwasher safe, BPA free, melamine, Wei, NSF",130,,
